,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
258,50,2,82,1565,39,2,2,4,18,22,9,0,1,122000,198000
259,50,2,81,1543,41,2,2,2,18,8,9,0,1,78000,168500
260,8,13,220,106,36,0,0,1,1,4,5,0,1,220000,49500
261,50,2,83,1579,35,2,2,4,18,22,5,0,1,238000,134500
262,50,2,81,1535,35,1,1,1,18,22,5,0,1,167000,81500
263,50,2,81,1543,39,2,2,2,18,4,9,0,1,125000,140000
264,50,2,81,1541,38,2,2,2,18,4,9,0,1,170000,156000
265,50,2,81,1543,40,2,2,2,18,22,9,0,1,146000,148500
266,50,2,81,1555,37,2,2,2,18,4,5,0,1,59000,147000
267,50,2,82,1564,28,1,0,2,18,18,9,0,1,284000,49900
268,50,2,81,1545,41,2,2,2,18,22,9,0,1,112500,180000
269,50,2,82,1565,39,2,2,4,18,22,9,0,1,164000,165900
270,50,2,83,1622,40,2,2,4,18,4,10,0,1,126000,267000
271,50,2,82,1565,36,2,2,4,18,4,9,0,1,175000,133000
272,50,2,83,1579,36,2,2,4,18,4,5,0,1,237000,158000
273,50,2,83,1579,36,2,2,4,18,4,5,0,1,230000,168000
274,50,2,81,1557,44,2,2,2,18,22,5,0,1,20000,217500
275,50,2,82,1560,29,1,1,6,18,3,11,0,1,276000,87500
276,50,2,81,1547,41,0,2,1,18,4,5,0,1,109000,157500
277,50,2,81,1555,41,2,2,2,18,4,5,0,1,92000,164950
278,50,2,81,1546,41,2,2,2,18,16,9,0,1,18000,217900
279,50,2,81,1558,41,2,2,2,18,4,5,0,1,48000,212500
280,26,30,191,531,39,2,1,2,2,9,9,0,1,124000,105500
281,50,2,294,1154,42,2,2,4,18,22,0,0,1,28000,567500
282,50,2,295,1283,40,2,1,6,18,22,0,0,1,115000,659750
283,50,2,82,1564,24,1,0,2,18,22,9,0,1,300000,38750
284,50,2,81,1555,37,2,2,2,18,22,5,0,1,208000,108900
285,50,2,81,1555,40,2,2,2,18,22,5,0,1,137000,157750
286,50,2,81,1541,38,2,2,2,18,22,9,0,1,127000,135500
287,50,2,82,1575,41,2,2,4,18,8,11,0,1,99000,389000
288,50,2,82,1568,41,2,2,4,18,22,9,0,1,44750,285000
289,50,2,175,1503,45,3,2,1,18,22,0,0,0,0,1150000
290,50,2,296,1622,45,2,1,6,18,22,0,0,0,0,1640000
291,50,2,81,1541,41,2,2,2,18,22,9,0,1,96000,186000
292,50,2,83,1580,39,2,2,4,18,4,5,0,1,95000,305000
293,50,2,81,1558,41,2,1,1,18,4,5,0,1,50000,190000
294,50,2,81,1551,45,0,2,2,18,22,5,0,0,0,246500
295,50,2,82,1622,35,0,2,3,18,22,9,0,1,149000,112500
296,50,2,81,1551,45,0,2,2,18,4,5,0,0,0,246500
297,50,2,82,1565,40,2,2,4,18,22,9,0,1,105000,222000
298,50,2,82,1565,38,2,2,4,18,22,9,0,1,108000,215000
299,50,2,82,1565,40,2,2,4,18,22,9,0,1,99000,250000
300,21,17,368,1214,39,2,1,6,3,22,0,0,1,54000,457500
301,50,2,81,1553,35,1,2,2,18,22,5,0,1,249000,104750
302,50,2,295,1283,33,2,1,6,18,22,0,0,1,201000,184750
303,50,2,83,1579,39,2,2,4,18,4,5,0,1,137000,243500
304,50,2,82,1622,28,1,2,5,18,11,9,0,1,340000,62500
305,50,2,81,1542,38,2,2,2,18,4,9,0,1,150000,144000
306,50,2,82,1570,41,2,2,4,18,4,9,0,1,98000,268500
307,50,2,82,1565,33,2,2,4,18,9,9,0,1,295000,120000
308,50,2,82,1572,36,0,2,4,18,22,9,0,1,74000,175000
309,50,2,83,1579,39,2,2,4,18,4,5,0,1,115000,265000
310,50,2,84,1581,35,2,2,4,18,22,9,0,1,248000,144000
311,50,2,350,1159,34,0,2,4,18,4,10,0,1,159000,156000
312,50,2,84,1622,31,1,1,7,18,8,9,0,1,397000,85750
313,50,2,84,1581,33,2,2,4,18,22,9,0,1,450000,115000
314,50,2,81,1555,39,2,2,2,18,4,5,0,1,150000,170000
315,50,2,83,1578,42,0,2,2,18,8,5,0,1,57000,394900
316,50,2,84,1586,41,2,2,6,18,9,9,0,1,108000,520000
317,50,2,84,1581,37,2,2,4,18,4,9,0,1,247000,219900
318,50,2,85,1282,37,2,2,6,18,13,10,0,1,215000,325000
319,50,2,81,1543,40,2,2,2,18,4,9,0,1,137000,144000
320,72,13,362,707,40,0,1,2,2,4,0,0,1,75000,160000
321,50,2,82,1565,37,2,2,4,18,4,9,0,1,231000,143000
322,50,2,84,1582,41,2,2,4,18,22,9,0,1,70000,408750
323,50,2,84,1582,42,2,2,4,18,9,9,0,1,46900,504750
324,50,2,82,1570,42,2,2,4,18,4,9,0,1,70000,328750
325,50,2,84,1582,42,2,2,4,18,22,9,0,1,40000,524750
326,50,2,84,1583,44,2,2,4,18,22,9,0,1,19000,739750
327,50,2,295,1283,35,2,1,6,18,4,0,0,1,247000,233750
328,50,2,81,1552,33,1,2,2,18,22,5,0,1,249000,87000
329,50,2,295,1283,34,2,1,6,18,4,0,0,1,245304,235000
330,50,2,82,1565,32,2,2,4,18,9,9,0,1,265789,76000
331,50,2,81,1545,41,2,2,2,18,4,9,0,1,44000,190000
332,50,2,81,1543,40,2,2,2,18,22,9,0,1,169000,164500
333,50,2,321,1728,35,0,2,6,18,22,5,0,1,160000,350000
334,50,2,83,1580,40,2,2,4,18,4,5,0,1,129000,274900
335,50,2,82,1567,41,2,2,4,18,4,9,0,1,82000,258500
336,50,2,82,1562,41,0,2,2,18,22,9,0,1,65000,259900
337,48,2,81,1555,39,2,2,2,18,4,5,0,1,164000,155900
338,48,2,81,1555,39,2,2,2,18,4,5,0,1,155000,165900
339,34,17,147,1436,25,1,1,5,3,4,5,0,1,249038,70750
340,48,2,84,1582,42,2,2,4,18,22,9,0,1,36000,512950
341,48,2,82,1568,41,2,2,4,18,4,9,0,1,19000,304950
342,48,2,84,1581,35,2,2,4,18,22,9,0,1,207000,129999
343,48,2,81,1541,41,2,2,2,18,9,9,0,1,117000,169900
344,48,2,81,1543,41,2,2,2,18,22,9,0,1,150000,159900
345,48,2,81,1543,40,2,2,2,18,22,9,0,1,149000,157900
346,48,2,81,1537,30,1,1,2,18,9,4,0,1,180000,68750
347,48,2,81,1544,43,2,2,2,18,9,9,0,1,40000,256750
348,48,2,81,1548,37,0,2,1,18,22,5,0,1,60000,136500
349,48,2,84,1581,37,2,2,4,18,4,9,0,1,205000,235000
350,48,2,81,1553,32,0,1,2,18,22,5,0,1,57000,113950
351,48,2,81,1543,39,2,2,2,18,4,9,0,1,137000,159500
352,48,2,293,1622,39,0,2,2,18,4,0,0,1,130000,185000
353,48,2,83,1580,40,2,2,4,18,4,5,0,1,128000,310000
354,48,2,295,1283,31,2,1,6,18,22,0,0,1,230000,148000
355,48,2,83,1578,42,0,2,2,18,22,5,0,1,25000,380000
356,48,2,84,1622,29,2,2,5,18,11,9,0,1,293000,60950
357,48,2,82,1565,40,2,2,4,18,11,9,0,1,129000,189900
358,48,2,81,1544,42,2,2,2,18,22,9,0,1,57000,240900
359,23,30,191,531,39,2,1,3,3,9,9,0,1,130000,104000
360,48,2,82,1562,41,0,2,2,18,8,9,0,1,95000,236500
361,48,2,81,1543,39,2,2,2,18,22,9,0,1,170000,138900
362,48,2,81,1543,41,2,2,2,18,22,9,0,1,42000,162750
363,48,2,81,1555,40,2,2,2,18,22,5,0,1,99000,169750
364,48,2,84,1582,42,2,2,4,18,18,9,0,1,46600,525000
365,48,2,293,1622,41,0,2,2,18,9,0,0,1,109000,297500
366,48,2,82,1565,38,2,2,4,18,22,9,0,1,192300,185000
367,48,2,84,1582,42,2,2,4,18,9,9,0,1,42769,532000
368,48,2,295,1158,41,0,1,4,18,4,0,0,1,98000,725000
369,48,2,84,1582,41,2,2,4,18,17,9,0,1,80000,428500
370,48,2,81,1541,40,2,2,2,18,4,9,0,1,66000,168750
371,48,2,81,1546,42,2,2,2,18,22,9,0,1,56000,236500
372,48,2,82,1570,42,2,2,4,18,22,9,0,1,81000,308500
373,48,2,82,1575,37,2,1,1,18,22,11,0,1,143000,238500
374,48,2,294,1154,36,2,1,1,18,4,0,0,1,201000,199500
375,48,2,81,1541,41,2,2,2,18,22,9,0,1,138000,173500
376,48,2,294,1154,37,2,2,4,18,4,0,0,1,121000,230000
377,48,2,81,1552,32,1,1,2,18,11,5,0,1,217000,84900
378,34,23,367,1002,25,2,0,3,2,4,1,0,1,250000,49500
379,48,2,84,1581,41,2,2,4,18,22,9,0,1,120000,404000
380,48,2,84,1582,41,2,2,4,18,22,9,0,1,166000,396000
381,48,2,82,1565,38,2,2,4,18,22,9,0,1,142000,149750
382,48,2,294,1154,37,2,2,4,18,22,0,0,1,175000,237500
383,48,2,81,1545,41,2,2,2,18,22,9,0,1,125000,175750
384,48,2,82,1565,40,2,2,4,18,22,9,0,1,177000,176000
385,48,2,83,1580,40,2,2,4,18,4,5,0,1,43000,375000
